epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_N_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_N_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_N_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_N_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        27, 4517.863,    0.002,        0.0034506,       7.6018e-05,        0.0035266,        0.894,         1.53,        0.505,         1.33,         1.51,         1.29,         1.16,        0.705,         2.04,         2.31,         2.18,         1.81,         3.27,        0.149,        0.0010734,       1.8952e-06,        0.0010753,        0.561,        0.851,        0.349,        0.828,        0.876,        0.716,        0.692,        0.486,         1.17,         1.19,         1.01,        0.964,        0.591,       0.0269
        28, 4685.276,    0.002,        0.0019725,       3.8609e-05,        0.0020111,        0.779,         1.15,        0.461,         1.16,          1.3,         1.03,        0.988,        0.633,         1.56,         1.72,         1.39,         1.33,         2.74,        0.125,          0.00101,       1.9575e-06,         0.001012,        0.547,        0.825,        0.338,        0.809,        0.871,        0.685,        0.676,         0.47,         1.13,         1.19,        0.945,        0.935,        0.641,       0.0292
        29, 4850.399,    0.002,        0.0025023,       4.7214e-05,        0.0025495,        0.841,          1.3,        0.488,         1.26,         1.42,         1.13,         1.08,        0.712,         1.74,         1.95,         1.61,          1.5,         2.92,        0.133,        0.0010283,       1.6093e-06,        0.0010299,        0.542,        0.833,        0.336,        0.806,        0.867,        0.655,        0.666,        0.469,         1.15,         1.23,        0.928,        0.943,        0.551,       0.0251
        30, 5015.140,    0.002,        0.0023163,       4.3017e-05,        0.0023593,        0.813,         1.25,        0.465,         1.21,         1.39,         1.14,         1.05,         0.63,         1.68,         1.89,         1.65,         1.46,         2.76,        0.126,       0.00098593,       1.2885e-06,       0.00098722,        0.529,        0.815,        0.324,        0.793,        0.843,        0.649,        0.652,        0.452,         1.13,          1.2,        0.897,         0.92,         0.49,       0.0223
        31, 5181.822,    0.002,        0.0030087,       7.7207e-05,        0.0030859,         0.88,         1.42,        0.499,         1.31,         1.54,         1.23,         1.14,        0.692,         1.91,         2.23,         1.88,         1.68,          3.4,        0.154,        0.0013593,       4.1925e-06,        0.0013635,        0.615,        0.957,        0.362,        0.931,            1,        0.806,        0.775,        0.493,         1.33,         1.41,         1.15,          1.1,        0.968,        0.044
        32, 5347.721,    0.002,        0.0020587,       3.8476e-05,        0.0020972,        0.766,         1.18,        0.446,         1.15,         1.27,         1.03,        0.975,         0.61,         1.62,         1.71,          1.5,         1.36,         2.63,         0.12,       0.00090032,       1.6004e-06,       0.00090192,        0.509,        0.779,         0.32,        0.756,        0.818,        0.597,        0.623,        0.447,         1.07,         1.16,        0.838,        0.878,        0.537,       0.0244
        33, 5511.139,    0.002,        0.0023293,       5.1274e-05,        0.0023805,        0.812,         1.25,         0.46,         1.22,         1.39,         1.13,         1.05,        0.633,         1.68,         1.88,         1.69,         1.47,         2.84,        0.129,        0.0011264,        2.553e-06,        0.0011289,        0.567,        0.871,        0.336,        0.839,        0.952,        0.752,         0.72,        0.471,         1.18,          1.3,         1.06,         1.01,        0.752,       0.0342
        34, 5675.919,    0.002,        0.0022333,       4.3794e-05,        0.0022771,        0.788,         1.23,        0.469,         1.15,         1.34,         1.07,         1.01,        0.687,         1.63,         1.84,         1.55,         1.42,         2.83,        0.128,       0.00097321,       1.8367e-06,       0.00097505,        0.526,         0.81,        0.317,        0.797,        0.855,        0.642,        0.653,         0.44,         1.13,         1.19,        0.892,        0.914,        0.587,       0.0267
        35, 5838.911,    0.002,        0.0024958,       4.1994e-05,        0.0025378,        0.811,          1.3,        0.462,          1.2,         1.39,         1.16,         1.05,        0.714,         1.71,         1.96,         1.69,         1.52,         2.76,        0.125,       0.00086532,       1.0492e-06,       0.00086637,        0.492,        0.764,        0.306,        0.727,        0.815,         0.58,        0.607,        0.427,         1.04,         1.19,        0.809,        0.867,        0.438,       0.0199
        36, 6003.044,    0.002,         0.001959,       3.6688e-05,        0.0019957,        0.752,         1.15,        0.433,         1.11,          1.3,         1.05,        0.971,        0.594,         1.54,         1.75,         1.48,         1.34,         2.65,        0.121,       0.00090203,       1.2558e-06,       0.00090328,        0.498,         0.78,        0.304,        0.743,        0.832,         0.59,        0.617,        0.429,         1.06,         1.24,        0.825,        0.888,        0.495,       0.0225
        37, 6167.323,    0.002,        0.0022805,       5.5006e-05,        0.0023355,        0.795,         1.24,        0.447,         1.18,         1.34,         1.16,         1.03,        0.609,         1.67,         1.82,         1.73,         1.46,         2.97,        0.135,       0.00099408,       1.7742e-06,       0.00099585,        0.526,        0.819,        0.314,        0.785,        0.873,        0.676,        0.662,        0.435,         1.12,          1.2,            1,        0.941,        0.531,       0.0241
