epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_N_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_N_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_N_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_N_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
       313, 49622.739,    0.002,       0.00040097,       8.1268e-06,        0.0004091,        0.303,         0.52,        0.172,        0.447,        0.531,        0.427,        0.394,        0.255,        0.699,        0.784,        0.709,        0.612,         1.06,       0.0481,       0.00033125,       3.1693e-07,       0.00033157,        0.285,        0.473,        0.164,        0.436,        0.495,        0.355,        0.362,        0.243,        0.661,         0.72,        0.523,        0.537,        0.241,        0.011
       314, 49771.048,    0.002,       0.00033426,       7.7062e-06,       0.00034197,        0.288,        0.475,        0.165,         0.42,        0.497,        0.418,        0.375,        0.259,        0.619,        0.719,        0.641,        0.559,         1.11,       0.0504,       0.00029929,       1.2949e-07,       0.00029942,        0.264,        0.449,        0.151,        0.403,        0.462,        0.326,        0.336,        0.228,        0.626,        0.698,        0.494,        0.512,         0.14,      0.00634
       315, 49921.828,    0.002,       0.00032498,       6.4555e-06,       0.00033143,        0.302,        0.468,        0.173,        0.443,        0.534,        0.424,        0.393,        0.233,        0.625,        0.749,        0.591,         0.55,         1.09,       0.0496,       0.00034303,       2.4261e-07,       0.00034328,        0.279,        0.481,        0.156,        0.427,        0.496,        0.356,        0.359,        0.236,        0.674,        0.767,         0.51,        0.547,         0.21,      0.00956
       316, 50069.711,    0.002,       0.00034359,       5.7085e-06,        0.0003493,        0.309,        0.481,        0.179,        0.456,        0.538,        0.424,        0.399,        0.252,         0.65,         0.74,        0.594,        0.559,         1.03,       0.0469,       0.00038757,       5.1021e-07,       0.00038808,        0.297,        0.511,        0.166,        0.461,        0.534,        0.362,         0.38,        0.247,         0.72,        0.811,        0.541,         0.58,        0.358,       0.0163
       317, 50219.842,    0.002,       0.00037556,       6.9624e-06,       0.00038252,        0.314,        0.503,        0.177,        0.469,        0.552,        0.434,        0.408,        0.249,        0.685,        0.787,        0.621,        0.586,         1.11,       0.0504,       0.00035376,       9.2584e-07,       0.00035469,         0.29,        0.488,        0.162,        0.448,        0.501,        0.371,        0.371,        0.241,        0.688,         0.75,        0.542,        0.555,        0.507,        0.023
       318, 50378.793,    0.002,       0.00036889,       6.5748e-06,       0.00037547,         0.29,        0.499,        0.167,        0.428,        0.508,        0.398,        0.375,        0.263,        0.666,        0.763,         0.64,        0.583,        0.982,       0.0446,       0.00034119,       3.7871e-07,       0.00034157,        0.279,         0.48,        0.156,        0.429,        0.482,        0.358,        0.356,        0.237,        0.677,        0.722,        0.547,        0.545,        0.233,       0.0106
       319, 50527.882,    0.002,       0.00029539,       5.4685e-06,       0.00030085,        0.291,        0.446,        0.169,        0.423,        0.511,        0.406,        0.377,        0.232,         0.59,          0.7,        0.578,        0.525,        0.991,       0.0451,       0.00031325,       2.0156e-07,       0.00031346,        0.271,         0.46,        0.154,        0.415,        0.476,        0.335,        0.345,        0.232,        0.643,        0.715,        0.499,        0.522,          0.2,      0.00907
       320, 50678.262,    0.002,       0.00029554,       5.5933e-06,       0.00030114,         0.29,        0.446,        0.167,        0.423,        0.507,         0.41,        0.377,        0.232,        0.594,        0.693,        0.576,        0.524,        0.985,       0.0448,       0.00031957,       6.0414e-07,       0.00032017,        0.278,        0.464,        0.161,        0.422,        0.482,        0.351,        0.354,        0.241,        0.646,        0.713,        0.509,        0.527,        0.399,       0.0181
       321, 50827.562,    0.002,       0.00044061,       1.0788e-05,        0.0004514,        0.311,        0.545,        0.175,        0.455,        0.544,        0.465,         0.41,        0.256,        0.697,        0.823,         0.86,        0.659,         1.19,       0.0543,       0.00030439,       2.0262e-07,       0.00030459,        0.266,        0.453,        0.152,        0.405,        0.461,        0.342,         0.34,         0.23,        0.634,        0.682,         0.52,        0.516,        0.179,      0.00813
       322, 50978.021,    0.002,       0.00037694,        6.889e-06,       0.00038383,        0.294,        0.504,        0.169,        0.435,        0.504,         0.41,         0.38,        0.252,        0.679,        0.761,        0.672,        0.591,        0.972,       0.0442,       0.00031349,       1.6122e-07,       0.00031365,        0.269,         0.46,        0.153,        0.409,        0.474,        0.337,        0.343,        0.232,        0.636,        0.727,        0.508,        0.526,        0.165,      0.00752
       323, 51126.861,    0.002,       0.00038414,        8.001e-06,       0.00039214,        0.305,        0.509,        0.173,        0.446,        0.541,        0.442,        0.401,        0.242,        0.673,        0.803,        0.702,        0.605,         1.07,       0.0485,       0.00032198,       1.1239e-07,       0.00032209,        0.274,        0.466,        0.156,        0.417,        0.484,         0.34,        0.349,        0.235,        0.652,        0.727,        0.501,        0.529,        0.133,      0.00606
       324, 51279.278,    0.002,       0.00024184,       5.2165e-06,       0.00024706,        0.264,        0.404,         0.15,        0.393,        0.459,        0.361,        0.341,        0.201,        0.551,        0.632,        0.493,        0.469,        0.956,       0.0434,         0.000334,       2.5184e-07,       0.00033425,        0.275,        0.475,        0.155,        0.423,        0.479,        0.346,        0.351,        0.235,        0.666,         0.74,        0.518,         0.54,        0.203,      0.00921
       325, 51428.455,    0.002,       0.00036791,        6.687e-06,        0.0003746,        0.317,        0.498,        0.177,        0.472,        0.561,        0.442,        0.413,         0.24,        0.671,        0.776,        0.657,        0.586,         1.12,       0.0507,       0.00034228,       2.5994e-07,       0.00034254,        0.283,         0.48,        0.158,        0.432,        0.503,        0.365,        0.365,        0.237,        0.667,        0.746,        0.556,        0.552,         0.19,      0.00862
       326, 51577.270,    0.002,       0.00033666,       4.9964e-06,       0.00034165,        0.296,        0.476,        0.167,        0.439,        0.527,        0.412,        0.386,        0.229,        0.643,        0.746,        0.619,        0.559,         0.97,       0.0441,        0.0003419,       2.9145e-07,       0.00034219,        0.284,         0.48,        0.159,        0.433,        0.509,         0.36,        0.365,         0.24,        0.667,         0.75,        0.542,         0.55,        0.254,       0.0115
       327, 51725.617,    0.002,       0.00034766,       5.4467e-06,        0.0003531,        0.301,        0.484,        0.173,        0.441,        0.533,         0.42,        0.392,        0.245,        0.642,        0.762,        0.634,        0.571,        0.969,       0.0441,       0.00038256,       7.3003e-07,       0.00038329,        0.305,        0.508,        0.168,        0.464,        0.552,        0.397,        0.395,        0.253,        0.701,        0.794,        0.591,        0.585,        0.418,        0.019
       328, 51874.869,    0.002,       0.00031285,       4.4201e-06,       0.00031727,        0.287,        0.459,        0.168,         0.42,        0.493,        0.397,        0.369,        0.249,        0.609,          0.7,        0.589,        0.537,          0.9,       0.0409,       0.00031655,       1.9494e-07,       0.00031674,        0.269,        0.462,        0.152,        0.409,        0.475,        0.344,        0.345,        0.229,        0.643,        0.718,        0.528,        0.529,        0.162,      0.00735
       329, 52023.704,    0.002,       0.00028469,        4.547e-06,       0.00028923,        0.288,        0.438,        0.166,        0.425,        0.507,        0.385,        0.371,         0.23,        0.591,        0.686,        0.525,        0.508,        0.961,       0.0437,        0.0003176,       1.5516e-07,       0.00031776,        0.269,        0.463,        0.153,         0.41,        0.478,        0.337,        0.344,        0.235,        0.646,         0.71,        0.516,        0.527,        0.161,      0.00733
       330, 52172.299,    0.002,       0.00039851,        9.402e-06,       0.00040791,        0.321,        0.518,        0.178,         0.47,        0.574,        0.476,        0.425,        0.259,        0.678,        0.803,        0.727,        0.617,         1.25,        0.057,       0.00040258,       6.9431e-07,       0.00040328,        0.306,        0.521,        0.169,        0.473,        0.558,        0.379,        0.395,        0.255,        0.731,        0.825,        0.559,        0.592,        0.421,       0.0191
       331, 52320.832,    0.002,        0.0003323,       5.6011e-06,        0.0003379,        0.291,        0.473,        0.167,        0.427,        0.512,        0.406,        0.378,        0.233,        0.632,        0.738,         0.63,        0.558,        0.945,       0.0429,       0.00031542,       2.3058e-07,       0.00031565,        0.269,        0.461,        0.153,        0.411,        0.466,        0.341,        0.343,         0.23,        0.647,        0.712,         0.51,        0.525,        0.192,      0.00874
       332, 52469.252,    0.002,       0.00034896,       6.7428e-06,        0.0003557,          0.3,        0.485,        0.168,        0.446,        0.529,         0.43,        0.393,        0.232,        0.656,        0.746,        0.646,         0.57,         1.09,       0.0497,       0.00035334,       1.7948e-07,       0.00035352,        0.284,        0.488,         0.16,        0.432,        0.513,         0.36,        0.366,         0.24,        0.678,        0.778,         0.54,        0.559,        0.165,      0.00748
       333, 52617.627,    0.002,       0.00030632,       4.5295e-06,       0.00031085,        0.288,        0.454,        0.165,        0.424,        0.506,        0.407,        0.375,        0.225,         0.61,          0.7,        0.601,        0.534,        0.918,       0.0417,       0.00034976,       2.8683e-07,       0.00035005,        0.283,        0.486,        0.157,        0.434,        0.503,        0.366,        0.365,        0.235,        0.681,        0.759,        0.541,        0.554,        0.248,       0.0113
       334, 52766.026,    0.002,       0.00034059,       6.5077e-06,        0.0003471,        0.298,        0.479,         0.17,        0.441,        0.515,        0.423,        0.387,        0.244,        0.641,        0.723,        0.642,        0.563,         1.04,       0.0473,       0.00033062,       2.7543e-07,        0.0003309,        0.282,        0.472,         0.16,         0.43,        0.489,        0.363,        0.361,        0.241,        0.657,        0.718,        0.543,         0.54,        0.238,       0.0108
       335, 52914.395,    0.002,       0.00038385,       7.8378e-06,       0.00039168,        0.305,        0.509,        0.173,        0.446,        0.533,        0.439,        0.398,        0.265,        0.672,        0.781,        0.679,        0.599,         1.11,       0.0505,       0.00038894,       1.8892e-06,       0.00039083,        0.312,        0.512,        0.174,        0.483,        0.553,        0.388,        0.399,        0.255,        0.719,        0.793,        0.558,        0.582,        0.734,       0.0333
       336, 53062.819,    0.002,       0.00035539,       4.6208e-06,       0.00036001,        0.283,        0.489,        0.165,        0.414,        0.473,        0.404,        0.364,        0.281,        0.634,        0.687,        0.695,        0.574,        0.879,       0.0399,       0.00030873,       1.7385e-07,       0.00030891,        0.267,        0.456,        0.153,        0.409,        0.467,         0.33,         0.34,        0.228,        0.639,        0.719,        0.485,        0.518,        0.171,      0.00779
       337, 53211.451,    0.002,       0.00029537,       5.6002e-06,       0.00030097,        0.287,        0.446,        0.165,        0.421,        0.495,        0.405,        0.372,        0.223,        0.599,        0.685,        0.588,        0.524,         1.02,       0.0462,       0.00030976,       1.5845e-07,       0.00030992,        0.269,        0.457,        0.152,        0.411,         0.47,        0.342,        0.344,         0.23,        0.641,        0.692,        0.518,         0.52,        0.151,      0.00687
       338, 53361.478,    0.002,       0.00034985,       8.2262e-06,       0.00035808,        0.303,        0.486,         0.17,        0.445,        0.551,        0.434,          0.4,         0.23,        0.644,         0.78,        0.651,        0.576,         1.17,       0.0534,       0.00035811,       1.8611e-07,       0.00035829,        0.287,        0.491,        0.157,        0.443,        0.504,        0.384,        0.372,        0.234,        0.683,        0.739,        0.617,        0.568,         0.18,      0.00819
       339, 53510.921,    0.002,       0.00036821,       7.9516e-06,       0.00037616,        0.285,        0.498,        0.162,        0.412,        0.501,        0.424,        0.375,         0.23,         0.66,        0.764,        0.723,        0.594,         1.01,        0.046,       0.00032126,       1.6595e-07,       0.00032142,        0.271,        0.465,        0.152,        0.414,        0.475,        0.345,        0.347,        0.231,        0.651,        0.727,        0.515,        0.531,        0.156,      0.00707
       340, 53659.335,    0.002,       0.00035934,       9.2152e-06,       0.00036855,        0.299,        0.492,        0.169,        0.432,        0.537,        0.438,        0.394,        0.241,        0.636,        0.779,        0.704,         0.59,         1.19,       0.0542,       0.00037007,       4.2201e-07,        0.0003705,        0.292,        0.499,        0.159,        0.447,         0.51,         0.41,        0.381,        0.237,        0.691,        0.775,        0.614,        0.579,        0.313,       0.0142
       341, 53807.889,    0.002,       0.00031289,       6.7892e-06,       0.00031968,        0.292,        0.459,        0.167,        0.428,         0.52,        0.411,        0.382,        0.241,        0.605,        0.724,        0.591,         0.54,         1.11,       0.0502,       0.00036164,       3.3159e-07,       0.00036197,        0.288,        0.494,        0.161,        0.444,        0.497,        0.376,        0.369,        0.241,        0.691,        0.769,        0.559,        0.565,        0.255,       0.0116
       342, 53958.091,    0.002,       0.00037511,       7.0375e-06,       0.00038215,        0.304,        0.503,         0.17,        0.446,        0.544,        0.437,        0.399,         0.25,        0.666,        0.798,        0.663,        0.594,         1.05,       0.0477,       0.00034255,       2.5412e-07,       0.00034281,        0.282,        0.481,        0.159,        0.431,        0.495,        0.355,         0.36,        0.237,        0.671,        0.761,        0.526,        0.548,        0.227,       0.0103
       343, 54106.371,    0.002,       0.00033033,       5.3705e-06,        0.0003357,        0.292,        0.472,        0.167,        0.428,        0.514,        0.413,         0.38,        0.229,        0.633,        0.748,         0.61,        0.555,        0.943,       0.0429,       0.00037692,       3.9514e-07,       0.00037731,        0.292,        0.504,        0.161,        0.452,        0.514,        0.374,        0.375,        0.245,        0.709,        0.769,        0.578,        0.575,          0.2,      0.00907
       344, 54261.216,    0.002,       0.00028548,       5.1402e-06,       0.00029062,        0.274,        0.439,        0.157,        0.403,        0.474,        0.393,        0.357,        0.218,        0.589,         0.66,        0.595,        0.516,        0.936,       0.0425,       0.00032724,       1.9023e-07,       0.00032743,        0.274,         0.47,        0.155,        0.419,        0.478,        0.348,         0.35,        0.232,        0.656,        0.739,        0.515,        0.536,        0.182,      0.00829
       345, 54409.774,    0.002,       0.00026262,       5.6223e-06,       0.00026824,        0.277,        0.421,         0.16,        0.405,        0.485,        0.389,         0.36,        0.219,        0.561,        0.655,        0.534,        0.492,            1,       0.0455,       0.00032816,       3.7433e-07,       0.00032853,        0.274,         0.47,        0.154,        0.421,        0.481,        0.343,         0.35,        0.235,         0.66,        0.724,         0.52,        0.535,        0.283,       0.0129
       346, 54558.584,    0.002,       0.00042836,       8.5188e-06,       0.00043687,        0.325,        0.537,        0.184,        0.482,        0.573,        0.459,        0.424,        0.272,        0.717,        0.827,        0.712,        0.632,         1.15,       0.0522,       0.00045679,         4.41e-07,       0.00045723,        0.334,        0.555,        0.179,         0.52,        0.587,        0.451,        0.434,        0.264,        0.773,        0.845,        0.682,        0.641,        0.279,       0.0127
       347, 54707.543,    0.002,       0.00034693,       5.4986e-06,       0.00035242,        0.281,        0.484,        0.162,        0.411,        0.483,        0.404,        0.365,        0.242,        0.648,        0.723,        0.664,        0.569,         0.92,       0.0418,       0.00031885,       2.4799e-07,        0.0003191,        0.269,        0.464,        0.155,        0.408,        0.475,        0.334,        0.343,        0.234,        0.643,        0.741,        0.499,        0.529,        0.183,      0.00832
       348, 54856.213,    0.002,       0.00034715,       7.5807e-06,       0.00035473,        0.291,        0.484,        0.167,        0.427,        0.494,        0.431,        0.379,        0.269,        0.633,        0.687,        0.681,        0.568,         1.14,       0.0518,       0.00031299,       1.6046e-07,       0.00031315,         0.27,        0.459,        0.153,         0.41,        0.476,        0.342,        0.345,        0.232,         0.64,        0.711,        0.513,        0.524,        0.157,      0.00715
       349, 55006.593,    0.002,        0.0003225,       6.1563e-06,       0.00032865,        0.285,        0.466,        0.161,        0.419,          0.5,         0.41,        0.373,        0.238,        0.618,         0.71,        0.635,         0.55,         1.01,       0.0461,       0.00030234,       1.5137e-07,       0.00030249,        0.264,        0.451,        0.149,        0.402,        0.462,        0.341,        0.338,        0.225,        0.628,        0.705,        0.509,        0.517,        0.151,      0.00684
       350, 55155.493,    0.002,       0.00028137,       4.9045e-06,       0.00028627,        0.277,        0.436,        0.164,        0.402,        0.481,        0.381,        0.357,        0.248,        0.571,         0.67,        0.539,        0.507,        0.957,       0.0435,       0.00032491,       2.0419e-07,       0.00032511,         0.27,        0.468,        0.153,        0.413,        0.478,        0.336,        0.345,        0.234,        0.652,         0.75,        0.496,        0.533,          0.2,      0.00908
       351, 55305.165,    0.002,       0.00033148,        6.341e-06,       0.00033782,          0.3,        0.473,        0.173,        0.441,        0.516,        0.425,        0.389,        0.246,        0.628,        0.729,        0.617,        0.555,         1.06,       0.0482,       0.00033651,       2.0502e-07,       0.00033671,        0.278,        0.476,        0.156,        0.428,        0.488,        0.348,        0.355,        0.234,        0.669,        0.737,        0.532,        0.543,        0.181,      0.00821
       352, 55453.204,    0.002,       0.00041742,       6.8241e-06,       0.00042425,        0.308,         0.53,        0.174,        0.454,        0.538,        0.447,        0.403,        0.261,          0.7,        0.826,        0.731,         0.63,         1.04,       0.0471,       0.00033827,       2.5286e-07,       0.00033853,        0.283,        0.478,         0.16,        0.432,        0.495,        0.362,        0.362,        0.238,        0.669,        0.737,        0.531,        0.544,        0.234,       0.0106
       353, 55603.640,    0.002,       0.00031093,       6.6764e-06,        0.0003176,        0.269,        0.458,        0.152,        0.398,        0.463,         0.39,        0.351,        0.217,        0.616,        0.677,        0.652,        0.541,        0.956,       0.0435,       0.00035298,       4.7186e-07,       0.00035345,        0.282,        0.488,        0.157,        0.434,          0.5,        0.362,        0.363,        0.237,        0.684,        0.767,        0.539,        0.557,         0.32,       0.0145
       354, 55751.752,    0.002,       0.00024888,       5.0057e-06,       0.00025388,        0.267,         0.41,        0.154,        0.386,        0.469,        0.383,        0.348,        0.213,         0.54,        0.631,        0.547,        0.483,         0.96,       0.0436,       0.00031482,       1.5622e-07,       0.00031497,         0.27,        0.461,        0.152,        0.412,        0.478,        0.342,        0.346,         0.23,        0.645,        0.708,        0.516,        0.525,        0.159,      0.00722
       355, 55901.739,    0.002,       0.00030642,       5.4021e-06,       0.00031182,        0.288,        0.455,        0.164,        0.426,         0.51,        0.401,        0.375,        0.226,        0.613,         0.72,        0.566,        0.531,        0.952,       0.0433,       0.00032275,       2.2551e-07,       0.00032298,        0.271,        0.466,        0.152,        0.416,        0.478,        0.342,        0.347,         0.23,        0.651,        0.727,        0.526,        0.533,        0.192,      0.00874
       356, 56050.064,    0.002,       0.00030852,       6.3366e-06,       0.00031486,        0.284,        0.456,        0.163,        0.416,        0.488,         0.41,        0.369,        0.226,        0.604,        0.686,        0.645,         0.54,         1.04,       0.0472,       0.00032769,       3.7137e-07,       0.00032806,         0.28,         0.47,        0.158,        0.426,          0.5,        0.352,        0.359,        0.237,        0.655,        0.738,        0.513,        0.536,        0.308,        0.014
       357, 56198.691,    0.002,       0.00030325,        6.265e-06,       0.00030952,        0.285,        0.452,        0.159,        0.421,        0.498,        0.421,        0.375,        0.218,        0.605,        0.683,        0.632,        0.534,         1.04,       0.0471,       0.00034451,       3.7148e-07,       0.00034488,        0.279,        0.482,        0.159,        0.426,        0.491,        0.347,        0.355,        0.243,        0.669,        0.767,         0.52,         0.55,        0.256,       0.0116
       358, 56347.141,    0.002,        0.0002839,       4.5776e-06,       0.00028847,        0.286,        0.437,        0.166,        0.417,        0.505,        0.402,        0.372,        0.231,        0.582,        0.685,         0.55,        0.512,        0.964,       0.0438,       0.00033395,       1.5577e-07,       0.00033411,        0.275,        0.474,        0.154,        0.422,          0.5,        0.336,        0.353,         0.23,        0.663,        0.754,        0.522,        0.542,        0.157,      0.00712
       359, 56497.411,    0.002,       0.00030979,       6.3744e-06,       0.00031617,        0.295,        0.457,         0.17,        0.431,        0.529,        0.406,        0.384,         0.24,        0.605,        0.729,        0.568,        0.536,         1.05,       0.0479,       0.00031053,       1.8521e-07,       0.00031072,        0.269,        0.458,        0.153,        0.411,        0.471,        0.334,        0.342,        0.233,        0.642,        0.702,        0.497,        0.518,        0.171,      0.00776
       360, 56645.666,    0.002,       0.00032687,       5.2105e-06,       0.00033209,        0.298,        0.469,        0.171,        0.437,        0.529,        0.407,        0.386,        0.265,         0.62,        0.728,        0.566,        0.545,        0.978,       0.0444,        0.0003544,       2.6178e-07,       0.00035466,        0.285,        0.489,        0.161,        0.435,        0.507,        0.356,        0.365,        0.244,        0.685,        0.758,        0.536,        0.556,        0.226,       0.0103
       361, 56794.055,    0.002,       0.00029828,       7.0184e-06,        0.0003053,        0.277,        0.448,        0.161,        0.401,        0.482,        0.394,         0.36,        0.238,         0.59,        0.684,          0.6,        0.528,         1.06,       0.0482,        0.0003318,       2.4679e-07,       0.00033205,        0.279,        0.473,        0.156,        0.428,        0.501,        0.342,        0.357,        0.239,        0.664,        0.735,        0.503,        0.535,        0.215,      0.00975
       362, 56942.477,    0.002,       0.00036576,       6.4372e-06,        0.0003722,        0.299,        0.497,        0.166,        0.444,        0.529,        0.436,        0.394,        0.254,        0.655,        0.761,        0.676,        0.587,         1.06,       0.0483,       0.00030998,       1.6609e-07,       0.00031014,        0.269,        0.457,        0.152,        0.411,        0.467,        0.342,        0.343,        0.233,        0.639,        0.698,        0.509,         0.52,        0.163,       0.0074
       363, 57090.712,    0.002,        0.0002852,       5.0994e-06,        0.0002903,        0.274,        0.438,        0.162,        0.401,        0.473,         0.37,        0.351,        0.237,        0.583,        0.669,        0.558,        0.512,        0.883,       0.0401,       0.00033524,       2.3598e-07,       0.00033548,        0.273,        0.475,        0.155,         0.42,        0.471,        0.351,        0.349,        0.232,         0.67,        0.721,        0.544,        0.542,         0.19,      0.00865
       364, 57239.196,    0.002,       0.00041219,       6.8097e-06,         0.000419,        0.307,        0.527,        0.178,        0.443,        0.543,        0.434,          0.4,        0.273,        0.681,        0.824,        0.733,        0.628,         1.03,        0.047,       0.00033011,       1.7812e-07,       0.00033029,        0.274,        0.472,        0.155,        0.422,        0.472,        0.344,        0.348,        0.234,        0.661,        0.735,        0.519,        0.537,        0.161,       0.0073
       365, 57388.297,    0.002,       0.00031893,       7.3975e-06,       0.00032633,        0.268,        0.464,        0.155,        0.394,         0.46,         0.38,        0.347,        0.227,        0.626,        0.688,        0.639,        0.545,        0.998,       0.0454,       0.00035638,       3.0423e-07,       0.00035668,        0.287,         0.49,        0.162,        0.439,          0.5,        0.368,        0.367,        0.245,        0.681,        0.771,        0.548,        0.561,        0.223,       0.0102
       366, 57537.107,    0.001,       0.00014842,       2.7413e-06,       0.00015116,        0.192,        0.316,         0.12,         0.27,        0.316,        0.266,        0.243,        0.198,        0.405,        0.454,        0.409,        0.367,        0.576,       0.0262,       0.00030653,       1.8373e-06,       0.00030837,        0.269,        0.455,        0.156,        0.404,        0.467,        0.337,        0.341,        0.232,        0.628,        0.722,        0.498,         0.52,        0.744,       0.0338
       367, 57691.965,    0.001,       0.00013804,       2.9428e-06,       0.00014098,        0.177,        0.305,        0.119,         0.24,        0.273,         0.24,        0.218,        0.256,        0.344,        0.389,        0.352,        0.335,        0.606,       0.0275,       0.00031337,       2.4192e-07,       0.00031361,        0.273,         0.46,        0.164,         0.41,         0.46,         0.33,        0.341,         0.25,        0.639,        0.698,        0.484,        0.518,        0.225,       0.0102
       368, 57840.040,    0.001,       7.8266e-05,       1.5088e-06,       7.9775e-05,        0.154,         0.23,        0.108,        0.203,        0.227,         0.21,        0.187,        0.174,        0.275,        0.299,        0.285,        0.259,        0.515,       0.0234,       0.00028538,       1.1218e-07,        0.0002855,        0.251,        0.439,        0.145,        0.382,        0.437,        0.313,        0.319,        0.226,        0.614,        0.674,        0.472,        0.497,        0.134,      0.00608
       369, 57989.169,    0.001,       6.9597e-05,        1.511e-06,       7.1108e-05,        0.149,        0.217,        0.102,        0.199,        0.227,        0.209,        0.184,        0.153,        0.266,        0.298,        0.274,        0.248,         0.54,       0.0246,       0.00027874,       9.2788e-08,       0.00027884,        0.247,        0.434,         0.14,        0.377,         0.43,        0.309,        0.314,        0.219,        0.606,        0.677,         0.47,        0.493,         0.12,      0.00543
       370, 58137.824,    0.001,       9.7083e-05,       1.6151e-06,       9.8698e-05,        0.166,        0.256,        0.107,        0.226,        0.264,        0.239,        0.209,        0.176,        0.313,        0.362,        0.331,        0.296,         0.55,        0.025,       0.00028952,       1.4234e-07,       0.00028966,        0.253,        0.442,        0.146,        0.385,        0.439,        0.319,        0.322,        0.235,        0.612,        0.678,        0.482,        0.502,        0.154,      0.00698
       371, 58292.415,    0.001,       9.2305e-05,       1.7365e-06,       9.4042e-05,        0.166,        0.249,        0.107,        0.227,        0.268,        0.233,        0.209,        0.167,        0.309,        0.361,        0.318,        0.289,        0.583,       0.0265,       0.00027461,       9.1471e-08,        0.0002747,        0.246,         0.43,         0.14,        0.378,        0.428,        0.312,        0.314,        0.215,        0.603,        0.662,        0.478,         0.49,        0.117,      0.00534
       372, 58440.903,    0.001,       9.9036e-05,       1.4113e-06,       0.00010045,        0.167,        0.258,        0.108,        0.229,        0.271,        0.231,         0.21,        0.167,        0.324,        0.379,        0.329,          0.3,        0.512,       0.0233,       0.00027919,       7.9751e-08,       0.00027927,        0.249,        0.434,        0.141,        0.383,        0.434,        0.314,        0.318,        0.218,        0.612,         0.66,        0.475,        0.491,         0.11,      0.00501
       373, 58589.373,    0.001,       9.3653e-05,       1.5674e-06,       9.5221e-05,        0.165,        0.251,        0.106,        0.227,        0.266,        0.231,        0.207,        0.153,        0.319,        0.369,        0.333,        0.294,        0.521,       0.0237,       0.00029113,       1.0443e-07,       0.00029123,        0.248,        0.443,         0.14,         0.38,        0.439,        0.315,        0.318,        0.218,        0.621,         0.69,        0.493,        0.505,        0.129,      0.00587
       374, 58738.158,    0.001,       0.00010581,       1.8099e-06,       0.00010762,         0.17,        0.267,        0.105,        0.238,        0.279,        0.245,        0.217,        0.157,        0.342,        0.395,        0.361,        0.314,        0.535,       0.0243,        0.0002838,       1.0279e-07,        0.0002839,         0.25,        0.437,        0.141,        0.382,        0.438,        0.315,        0.319,        0.218,        0.612,        0.683,        0.479,        0.498,        0.125,      0.00569
       375, 58891.102,    0.001,       9.3261e-05,       1.5023e-06,       9.4763e-05,         0.16,        0.251,        0.101,        0.224,        0.259,         0.22,        0.201,        0.155,        0.324,        0.376,        0.302,        0.289,        0.492,       0.0224,        0.0002819,       9.7293e-08,       0.00028199,        0.247,        0.436,        0.138,         0.38,         0.43,        0.312,        0.315,        0.215,        0.614,        0.675,        0.477,        0.495,        0.115,      0.00522
       376, 59038.926,    0.001,       8.7037e-05,       1.4648e-06,       8.8502e-05,        0.152,        0.242,       0.0992,        0.208,         0.24,        0.212,         0.19,        0.154,        0.308,        0.342,        0.319,        0.281,        0.493,       0.0224,       0.00027198,       9.5627e-08,       0.00027208,        0.243,        0.428,        0.138,        0.374,        0.422,        0.307,         0.31,        0.215,        0.603,        0.652,        0.471,        0.485,        0.122,      0.00555
       377, 59187.245,    0.001,       9.6839e-05,       1.5078e-06,       9.8347e-05,         0.16,        0.256,       0.0997,        0.224,        0.268,        0.225,        0.204,        0.137,        0.336,        0.397,        0.329,          0.3,        0.494,       0.0224,       0.00027875,       9.5109e-08,       0.00027885,        0.245,        0.434,        0.137,        0.378,        0.431,        0.312,        0.314,        0.214,        0.608,        0.672,         0.48,        0.494,        0.127,      0.00575
       378, 59335.988,    0.001,       8.8548e-05,       1.1217e-06,        8.967e-05,        0.163,        0.244,        0.104,        0.224,        0.265,        0.227,        0.205,        0.145,        0.314,        0.371,        0.311,        0.285,        0.465,       0.0212,       0.00027409,       1.0933e-07,        0.0002742,        0.247,         0.43,         0.14,        0.379,        0.429,         0.31,        0.315,        0.215,        0.604,        0.659,        0.476,        0.488,        0.123,       0.0056
       379, 59484.830,    0.001,       8.5202e-05,       1.6583e-06,        8.686e-05,        0.161,         0.24,          0.1,        0.223,        0.268,        0.232,        0.206,        0.138,        0.307,        0.369,        0.315,        0.282,        0.556,       0.0253,       0.00028591,       8.9648e-08,         0.000286,        0.251,        0.439,         0.14,        0.385,        0.441,        0.323,        0.322,        0.213,        0.615,        0.686,        0.492,        0.501,        0.124,      0.00562
